Date,Company Name,Company Ticker,ceoRating,ceoRatingSize,upMgmtRating,upMgmtRatingSize,overallRating,overallRatingSize,Price,PriceMA10,PriceMA14
2021/3/21,Activision Blizzard,ATVI,0.559997,127,2.98188,211,3.59338,275,89.521835,91.08174036809551,91.67272599594592
2021/2/21,Activision Blizzard,ATVI,0.560715,127,3.05316,211,3.60954,275,99.721535,99.82192145508935,98.77079649397642
2021/1/24,Activision Blizzard,ATVI,0.526465,127,3.05754,211,3.50708,275,93.419685,91.49500529168267,90.84152062674563
2020/12/27,Activision Blizzard,ATVI,0.504876,127,2.98155,211,3.52051,275,89.986809,87.2195212298006,86.0181961231111
2020/11/29,Activision Blizzard,ATVI,0.64843,127,3.20108,211,3.57849,275,77.303978,75.89702108142977,76.04076270918736
2020/10/25,Activision Blizzard,ATVI,0.585748,127,3.09741,211,3.53627,275,80.172951,79.84118071023258,79.74237573071879
2020/9/27,Activision Blizzard,ATVI,0.448884,127,2.71932,211,3.24037,275,80.113594,79.64375830038009,79.70590990260115
2022/7/31,Adobe Inc.,ADBE,0.976795,2005,4.06158,2445,4.43801,3239,410.119995,395.2918312303794,392.7894810045416
2022/7/24,Adobe Inc.,ADBE,0.976851,2005,4.06172,2445,4.43827,3239,401.899994,390.5369004591754,388.06347777933263
2022/6/19,Adobe Inc.,ADBE,0.97775,2005,4.04984,2445,4.43961,3239,360.790009,386.5397957474092,392.36543727144266
2022/5/22,Adobe Inc.,ADBE,0.979777,2005,4.04831,2445,4.4406,3239,399.089996,398.7311838408069,400.13805416393996
2022/4/17,Adobe Inc.,ADBE,0.982331,2005,4.0526,2445,4.44343,3239,420.440002,438.2857372922828,440.97067368247605
2022/3/20,Adobe Inc.,ADBE,0.980425,2005,4.05612,2445,4.44738,3239,453.329987,440.7252133521578,443.6125065401809
2022/2/20,Adobe Inc.,ADBE,0.980354,2005,4.04775,2445,4.43771,3239,442.559998,478.48045394494375,486.0977443070717
2022/1/23,Adobe Inc.,ADBE,0.980369,2005,4.0482,2445,4.44017,3239,499.910004,519.0565137172026,526.2022948253466
2021/12/19,Adobe Inc.,ADBE,0.982307,2005,4.0467,2445,4.44935,3239,556.640015,615.2058107591262,624.3303146587149
2021/11/21,Adobe Inc.,ADBE,0.985349,2005,4.04658,2445,4.45298,3239,688.369995,666.5680436231131,661.9700385784654
2021/10/24,Adobe Inc.,ADBE,0.984633,2005,4.05837,2445,4.46833,3239,643.580017,620.004947288375,615.1228063057065
2021/9/19,Adobe Inc.,ADBE,0.986234,2005,4.03526,2445,4.44708,3239,654.479980,657.2625461330729,656.433564565137
2021/8/22,Adobe Inc.,ADBE,0.984603,2005,4.02272,2445,4.44695,3239,647.340027,634.3245248644674,631.693341686353
2021/7/18,Adobe Inc.,ADBE,0.986313,2005,4.03188,2445,4.45601,3239,606.099976,600.9773974772298,595.9483373122246
2021/6/20,Adobe Inc.,ADBE,0.986806,2005,4.01682,2445,4.45011,3239,565.590027,539.9101853627917,532.7852292164713
2021/5/23,Adobe Inc.,ADBE,0.984596,2005,3.9796,2445,4.42141,3239,488.070007,485.88487880436605,487.35545117743635
2021/4/18,Adobe Inc.,ADBE,0.983858,2005,3.97228,2445,4.43306,3239,525.080017,506.0054173677365,499.08374492315977
2021/3/21,Adobe Inc.,ADBE,0.9818,2005,3.9565,2445,4.41579,3239,441.500000,445.81101842634007,448.25599299532036
2021/2/21,Adobe Inc.,ADBE,0.980201,2005,3.95435,2445,4.41565,3239,479.119995,488.97459569789703,487.7152470405607
2021/1/24,Adobe Inc.,ADBE,0.97754,2005,3.9161,2445,4.36958,3239,472.440002,470.97043132189395,473.22302851779995
2020/12/27,Adobe Inc.,ADBE,0.973494,2005,3.88304,2445,4.34039,3239,499.859985,494.8027701510731,492.153243465371
2020/11/29,Adobe Inc.,ADBE,0.971156,2005,3.87182,2445,4.34255,3239,477.029999,467.6095609454985,467.9654620001302
2020/10/25,Adobe Inc.,ADBE,0.965491,2005,3.81887,2445,4.31396,3239,488.500000,494.0039571667532,494.0264698224572
2020/9/27,Adobe Inc.,ADBE,0.960482,2005,3.75734,2445,4.27853,3239,479.779999,477.6906674688952,479.15174376997
2022/7/31,Advance Auto Parts,AAP,0.659142,547,3.03439,964,3.36073,1270,193.619995,188.78951798735895,187.84025760612874
2022/7/24,Advance Auto Parts,AAP,0.659211,547,3.03489,964,3.36133,1270,191.229996,187.86196968487445,186.51260970013976
2022/6/19,Advance Auto Parts,AAP,0.650235,547,3.02037,964,3.35577,1270,167.809998,174.6590447983443,177.62079532149656
2022/5/22,Advance Auto Parts,AAP,0.636085,547,3.00318,964,3.36985,1270,180.306412,199.05435019648908,201.15785839075554
2022/4/17,Advance Auto Parts,AAP,0.627788,547,3.00088,964,3.35182,1270,216.776108,215.85045374193248,214.49068971837175
2022/3/20,Advance Auto Parts,AAP,0.629215,547,2.98532,964,3.3532,1270,204.543549,202.82197981077275,203.34634454403871
2022/2/20,Advance Auto Parts,AAP,0.636534,547,3.03057,964,3.39943,1270,215.327301,220.14251871201142,221.48485636523165
2022/1/23,Advance Auto Parts,AAP,0.667591,547,3.0223,964,3.39573,1270,222.560654,230.2437814517273,230.87844057557191
2021/12/19,Advance Auto Parts,AAP,0.657228,547,3.01569,964,3.39093,1270,229.124802,230.43091253986626,229.59672873433198
2021/11/21,Advance Auto Parts,AAP,0.656073,547,3.02735,964,3.39684,1270,225.403046,228.49947059884434,227.76070798691154
2021/10/24,Advance Auto Parts,AAP,0.658931,547,3.01673,964,3.38817,1270,227.333664,218.50879547643098,216.11082054366744
2021/9/19,Advance Auto Parts,AAP,0.661512,547,3.01198,964,3.35455,1270,201.686722,198.96190072610682,198.89707723663787
2021/8/22,Advance Auto Parts,AAP,0.670765,547,3.04884,964,3.40061,1270,204.492645,203.78749244905578,203.92473870087895
2021/7/18,Advance Auto Parts,AAP,0.628161,547,2.87096,964,3.31534,1270,200.757416,203.18116539979277,202.3586002719671
2021/6/20,Advance Auto Parts,AAP,0.622769,547,2.83984,964,3.30149,1270,188.547150,190.3552325020653,190.2090187749873
2021/5/23,Advance Auto Parts,AAP,0.621325,547,2.89478,964,3.31087,1270,189.151855,193.51990440194328,193.79196052450928
2021/4/18,Advance Auto Parts,AAP,0.646193,547,2.91096,964,3.35729,1270,187.191833,181.68874750832248,180.5833553028402
2021/3/21,Advance Auto Parts,AAP,0.650038,547,2.93968,964,3.36061,1270,180.477310,173.57207674196806,171.3037573031837
2021/2/21,Advance Auto Parts,AAP,0.645364,547,2.97047,964,3.38477,1270,160.830475,155.5454814266422,154.93917976690602
2021/1/24,Advance Auto Parts,AAP,0.633765,547,2.87365,964,3.35736,1270,158.679337,160.97182366632777,160.46352044200307
2020/12/27,Advance Auto Parts,AAP,0.64404,547,2.85967,964,3.35563,1270,155.694885,154.0338549575037,153.1442631349421
2020/11/29,Advance Auto Parts,AAP,0.617501,547,2.81356,964,3.31008,1270,145.053268,144.48571607474838,145.02582080970961
2020/10/25,Advance Auto Parts,AAP,0.63981,547,2.87075,964,3.34219,1270,149.687485,149.52517812405662,149.58025238661884
2020/9/27,Advance Auto Parts,AAP,0.622861,547,2.78708,964,3.28381,1270,144.550186,145.71953287883716,146.55152839279896
2022/7/31,AES Corporation,AES,0.925942,165,3.91739,232,4.17919,281,22.219999,20.804073770695414,20.706411069014155
2022/7/24,AES Corporation,AES,0.928849,165,3.92204,232,4.1816,281,19.590082,20.195203109388263,20.31806668503479
2022/6/19,AES Corporation,AES,0.929131,165,3.91603,232,4.21866,281,19.113487,19.99158920548938,20.28191792917859
2022/5/22,AES Corporation,AES,0.935502,165,3.91367,232,4.22668,281,20.384411,20.34119524261643,20.505595326213445
